Ciudad de Mexico,Acapulco,Campeche,Cancun,Chichen Itza,Chihuahua,Cozumel,Cuernavaca,Guadalajara,Hermosillo,Isla Mujeres,Ixtapa Zihuatanejo,La Paz,Los Cabos,Merida,Monterrey,Morelia,Nuevo Vallarta,Oaxaca de Juarez,Playa del Carmen,Puebla,Puerto Vallarta,Queretaro,San Luis Potosi,San Miguel de Allende,Taxco,Tequila,Tlaxcala,Tuxtla Gutierrez,Villahermosa,Zacatecas
73,5,5,11,0,0,1,0,9,20,0,4,1,4,19,16,2,0,4,1,16,4,3,7,0,0,0,3,5,11,1
58,5,8,4,0,3,2,0,9,23,0,0,0,2,15,8,4,0,0,2,27,0,7,7,0,0,0,5,5,12,1
56,8,6,11,0,1,3,0,11,8,0,1,0,1,14,11,5,1,1,1,21,1,5,5,0,0,0,1,6,17,0
65,5,3,7,0,0,3,0,17,14,0,1,0,1,14,14,0,0,0,2,25,4,3,6,2,0,0,1,2,16,1
59,5,9,11,0,3,2,2,10,14,0,1,4,0,9,13,1,1,2,1,31,4,5,7,0,0,0,1,1,18,1
55,9,5,17,1,8,2,1,12,21,0,0,2,0,18,13,2,1,1,2,23,3,4,5,0,0,0,5,6,13,0
56,5,8,13,0,1,0,1,6,23,1,1,0,4,21,17,0,3,4,1,20,5,3,15,0,0,0,0,2,15,1
43,4,4,5,0,3,1,0,7,13,1,2,2,2,24,18,2,0,1,1,29,2,8,9,0,1,0,3,2,13,0
54,7,7,10,0,1,0,1,10,24,1,3,1,3,15,14,1,0,0,3,24,4,4,14,2,0,0,1,2,8,1
46,5,5,10,0,2,0,3,8,13,0,2,1,4,12,16,4,0,1,3,26,7,1,5,0,0,0,3,1,5,2
61,8,4,11,0,0,0,0,14,9,1,2,0,3,14,13,3,0,2,0,30,4,5,14,0,0,0,1,1,16,3
53,8,6,9,0,4,1,1,12,13,0,0,0,5,10,13,4,2,0,0,33,4,6,11,0,1,0,4,3,8,1
53,4,5,10,0,2,2,0,12,15,0,0,1,2,15,16,5,2,2,1,24,2,4,11,0,0,0,1,4,18,1
49,4,4,13,0,2,1,0,13,15,0,0,2,2,26,13,3,3,2,0,26,6,4,16,0,1,0,2,1,8,1
35,2,6,8,0,3,0,0,8,10,0,1,2,4,13,18,3,1,1,3,30,2,3,8,0,1,0,2,3,8,3
60,5,2,9,1,2,1,0,14,11,0,2,2,6,7,11,1,0,2,3,34,1,4,11,1,1,0,1,3,16,0
48,5,5,15,0,2,0,3,7,8,0,1,1,0,13,13,2,2,1,0,18,0,5,15,1,0,0,3,4,10,0
47,4,5,4,0,1,0,1,12,8,0,0,2,4,19,14,9,0,2,1,20,1,6,3,0,0,0,0,2,11,5
55,7,4,11,0,3,2,1,8,6,0,3,2,1,15,19,5,4,3,2,22,1,10,13,1,0,0,2,2,12,2
56,6,8,12,1,3,1,1,5,6,1,2,2,2,16,10,2,1,4,2,24,2,2,14,2,0,0,1,3,12,3
55,9,3,9,1,4,3,1,10,9,0,0,0,1,22,17,1,0,0,4,21,6,2,14,0,2,0,6,2,5,1
61,4,4,9,1,2,0,2,15,8,0,2,3,4,16,18,2,1,4,0,17,3,8,9,0,0,0,1,3,8,2
43,4,4,6,0,2,0,0,14,7,0,1,1,0,15,19,5,1,2,1,22,4,6,8,1,0,0,0,1,11,1
53,7,2,9,1,2,2,2,6,4,1,1,1,2,10,15,2,0,3,1,17,0,3,14,0,0,0,0,0,7,2
64,4,0,11,0,2,0,0,10,9,0,0,1,7,14,13,0,1,0,1,16,3,3,14,0,0,0,4,2,9,4
35,4,3,6,0,7,1,3,5,4,0,1,1,2,10,19,4,2,2,1,17,1,3,13,2,0,0,2,2,9,2
47,3,2,8,1,2,2,4,5,1,0,1,1,1,16,10,4,1,0,4,25,2,9,10,0,1,0,0,0,10,3
42,3,5,14,1,2,2,3,19,13,0,0,2,5,13,19,3,0,1,2,27,2,3,14,0,1,0,4,0,6,1
45,0,4,8,0,1,0,0,11,7,0,1,0,3,10,20,5,0,3,2,26,1,3,15,0,0,0,1,3,9,1
46,4,4,5,0,2,0,1,8,7,0,0,2,3,19,22,2,1,1,0,24,3,4,19,0,0,0,1,1,7,1
45,0,6,5,0,1,3,3,9,8,0,1,0,2,9,7,6,0,2,0,21,1,7,20,0,1,0,1,1,9,0
44,3,6,10,0,3,3,0,10,5,0,0,2,2,14,12,2,0,1,2,21,2,9,10,1,0,0,0,1,6,1
42,6,2,7,0,3,0,2,8,7,0,0,0,4,11,14,6,0,2,0,17,4,5,9,0,1,0,2,1,12,0
