AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,NACIONAL
0,36,1,3,5,19,123,3,1,0,4,12,9,2,106,3,17,1,3,5,16,2,6,1,15,4,16,4,10,27,6,0,460
0,31,0,2,5,18,143,0,0,0,1,8,13,4,117,2,12,0,4,5,20,4,14,1,18,1,15,3,9,29,7,1,487
2,42,1,1,5,21,128,0,0,1,4,10,9,3,138,6,22,0,4,6,16,1,7,0,8,4,17,5,5,22,6,1,495
1,41,1,4,3,22,152,1,0,3,2,10,15,4,122,10,10,4,3,8,18,2,11,1,16,7,18,6,4,41,7,1,548
1,31,0,5,2,18,146,3,1,3,8,15,15,7,144,4,12,2,4,8,20,4,10,2,18,5,28,2,8,27,1,2,556
1,35,1,3,3,15,148,4,1,2,3,14,10,9,142,6,10,2,3,3,18,8,7,4,16,7,18,3,9,25,3,0,533
4,44,1,2,6,15,158,2,0,1,2,17,13,6,151,7,11,3,3,8,14,8,6,5,20,12,19,0,8,27,8,1,582
0,52,1,2,5,19,162,0,1,0,6,20,14,3,152,4,17,2,4,7,13,1,10,2,19,9,16,4,3,40,5,0,593
0,34,0,2,12,26,140,0,0,0,4,16,8,1,144,9,21,3,5,13,23,3,8,0,19,10,20,5,6,42,4,2,580
0,41,1,4,7,11,125,2,2,5,2,25,16,6,122,9,22,0,6,7,27,4,5,3,20,11,22,2,5,43,14,0,569
2,23,0,1,2,7,171,1,1,1,5,19,17,9,139,10,17,2,3,4,22,10,6,1,26,5,23,5,5,32,6,0,575
1,28,1,1,12,14,132,1,1,0,6,20,13,3,143,8,11,1,3,8,31,2,5,2,19,15,25,4,2,41,6,1,560
0,30,0,1,8,14,136,2,0,0,6,20,13,4,122,4,15,0,2,11,26,6,4,4,20,18,24,3,5,31,8,1,538
4,35,1,5,11,7,144,6,4,3,4,27,11,5,158,10,10,2,2,14,22,4,12,2,15,15,18,5,13,34,3,0,606
1,42,0,3,13,12,143,2,0,3,8,28,13,8,152,11,10,0,9,15,31,5,6,3,21,22,13,5,3,37,9,1,629
1,37,1,5,4,16,135,3,2,2,5,24,12,5,163,6,11,3,5,10,25,5,6,3,20,23,21,3,6,40,10,1,613
